timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:16:24.560,Msg1_PRACH,14,1,4,0x0039,0,40.0,0,transmitted
timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:16:44.199,Msg1_PRACH,14,1,4,0x0039,0,40.0,0,transmitted
timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:28:15.908,Msg1_PRACH,14,1,4,0x0039,0,40.0,0,transmitted
timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:37:40.232,Msg1_PRACH,14,1,4,0x0039,0,40.0,0,transmitted
timestamp,channel,system_slot,sfn,slot_in_frame,rnti,rapid,tx_gain,on_air_ticks,outcome
2026-06-26T12:37:48.402,Msg1_PRACH,14,1,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.432,Msg1_PRACH,174,17,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.502,Msg1_PRACH,334,33,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.532,Msg1_PRACH,494,49,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.562,Msg1_PRACH,654,65,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.632,Msg1_PRACH,814,81,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.663,Msg1_PRACH,974,97,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.693,Msg1_PRACH,1134,113,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.763,Msg1_PRACH,1294,129,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.793,Msg1_PRACH,1454,145,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.823,Msg1_PRACH,1614,161,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.893,Msg1_PRACH,1774,177,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.923,Msg1_PRACH,1934,193,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:48.954,Msg1_PRACH,2094,209,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.023,Msg1_PRACH,2254,225,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.054,Msg1_PRACH,2414,241,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.084,Msg1_PRACH,2574,257,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.154,Msg1_PRACH,2734,273,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.184,Msg1_PRACH,2894,289,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.214,Msg1_PRACH,3054,305,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.284,Msg1_PRACH,3214,321,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.315,Msg1_PRACH,3374,337,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.345,Msg1_PRACH,3534,353,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.415,Msg1_PRACH,3694,369,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.445,Msg1_PRACH,3854,385,4,0x0039,0,40.0,0,transmitted
2026-06-26T12:37:49.475,Msg1_PRACH,4014,401,4,0x0039,0,40.0,0,transmitted
